timestamp,service,level,message,logger,trace_id,environment,exception_type,exception_message,exception_stacktrace
2026-02-17T04:49:36.037Z,inventory-service,INFO,Order created,com.company.inventoryservice.Service,811a2e7d366ab0d560c026f006400f4e,production,,,
2026-02-17T04:50:03.642Z,notification-service,ERROR,Connection to payment-gateway timed out after 30s,com.company.notificationservice.Service,276cc3fb1d21be6c1dc52c70a08f4623,production,SocketTimeoutException,Connection to payment-gateway timed out after 30s,"SocketTimeoutException: Connection to payment-gateway timed out after 30s
	at com.company.service.Service.process(Service.java:67)"
2026-02-17T04:50:37.052Z,payment-service,INFO,Order created,com.company.paymentservice.Service,3b1e36479d8c9354d887f8f5c68f493a,production,,,
2026-02-17T04:51:09.183Z,payment-service,INFO,User session started,com.company.paymentservice.Service,cd0d854488c8b964c4ca36a4018d1e1b,production,,,
2026-02-17T04:51:01.864Z,user-service,INFO,Payment initiated,com.company.userservice.Service,c292afcc1d56031b61ab5c14e41f612b,production,,,
2026-02-17T04:51:05.127Z,payment-service,INFO,Request processed successfully,com.company.paymentservice.Service,4f9db69f13e742c184ecd8f0a7aff66c,production,,,
2026-02-17T04:51:47.654Z,notification-service,INFO,Payment initiated,com.company.notificationservice.Service,b5b698daff0c6c5166ea11919a6fd706,production,,,
2026-02-17T04:52:24.953Z,payment-service,INFO,User session started,com.company.paymentservice.Service,7b878b11e1eb8502712890afdc4332d2,production,,,
2026-02-17T04:52:47.616Z,notification-service,INFO,Health check passed,com.company.notificationservice.Service,ea0de81574bfe3e499fe3c66fe518f83,production,,,
2026-02-17T04:53:08.526Z,checkout-service,INFO,Request processed successfully,com.company.checkoutservice.Service,cc2856e2225a922abd7ca97bac46506d,production,,,
2026-02-17T04:53:08.408Z,inventory-service,INFO,Order created,com.company.inventoryservice.Service,fc72080ba03cfea3503795caba9845c1,production,,,
2026-02-17T04:53:37.580Z,inventory-service,INFO,Order created,com.company.inventoryservice.Service,8c823858461d5cf15870e8c1ad6c840b,production,,,
2026-02-17T04:53:34.038Z,notification-service,INFO,User session started,com.company.notificationservice.Service,580d7a7f9d215e2e0e0a63a7b454f160,production,,,
2026-02-17T04:53:27.785Z,notification-service,INFO,Health check passed,com.company.notificationservice.Service,ea9d862804075164763845bbfbd6afb2,production,,,
2026-02-17T04:54:33.693Z,payment-service,INFO,Health check passed,com.company.paymentservice.Service,f39891254f2f6682f5ed57247dd45856,production,,,
2026-02-17T04:54:51.482Z,checkout-service,INFO,Request processed successfully,com.company.checkoutservice.Service,cdd5e57ca50824518431154e69fa1540,production,,,
2026-02-17T04:54:58.876Z,checkout-service,INFO,Payment initiated,com.company.checkoutservice.Service,4a83d2f645b5f0b05df598041e924e65,production,,,
2026-02-17T04:55:31.349Z,user-service,INFO,Health check passed,com.company.userservice.Service,71c5dfa45cb40c8b92a54ef0f2b863e9,production,,,
2026-02-17T04:55:30.966Z,checkout-service,INFO,Order created,com.company.checkoutservice.Service,19329b28ba6de554c2c4cc311e843a38,production,,,
2026-02-17T04:55:43.371Z,checkout-service,INFO,Payment initiated,com.company.checkoutservice.Service,1dfc909f725129a5e4bb4da675821937,production,,,
2026-02-17T04:55:55.027Z,inventory-service,INFO,Request processed successfully,com.company.inventoryservice.Service,ff4df7a565c044cc7be62f3be1c983aa,production,,,
2026-02-17T04:56:19.385Z,inventory-service,INFO,Health check passed,com.company.inventoryservice.Service,c97d18c84f2d2d8456f543cf8d1543ac,production,,,
2026-02-17T04:56:59.704Z,checkout-service,INFO,Request processed successfully,com.company.checkoutservice.Service,6dae561dd467246d213d812d057f7781,production,,,
2026-02-17T04:57:23.221Z,inventory-service,INFO,User session started,com.company.inventoryservice.Service,b3c40b9eee87c836e20c4ca971ce8447,production,,,
2026-02-17T04:56:45.268Z,payment-service,INFO,User session started,com.company.paymentservice.Service,2b92fc815c24219c9c84acb22cd3d6be,production,,,
2026-02-17T04:57:27.417Z,inventory-service,INFO,Request processed successfully,com.company.inventoryservice.Service,a370209be3ea752f8b64aab165328588,production,,,
2026-02-17T04:57:29.279Z,checkout-service,INFO,User session started,com.company.checkoutservice.Service,aec6a3035e8b9711e1a0832df41a33bc,production,,,
2026-02-17T04:57:56.860Z,user-service,INFO,Order created,com.company.userservice.Service,c12da21e31fd05119bbfbc1fac749932,production,,,
2026-02-17T04:58:47.075Z,notification-service,INFO,User session started,com.company.notificationservice.Service,29f588821b10c2aa83cef4106c12eb3b,production,,,
2026-02-17T04:58:54.431Z,checkout-service,INFO,Order created,com.company.checkoutservice.Service,3f5eabec5485dc75a36971c8a4598077,production,,,
2026-02-17T04:59:01.570Z,user-service,INFO,Payment initiated,com.company.userservice.Service,2c49d168e8a730ef76eb0ca1e1b3aa4b,production,,,
2026-02-17T04:59:16.269Z,user-service,INFO,Payment initiated,com.company.userservice.Service,c387fca228375fb70846e199a8c7e15a,production,,,
2026-02-17T04:59:13.064Z,payment-service,INFO,Payment initiated,com.company.paymentservice.Service,a27472b8f699ce9d0242a380959dc30f,production,,,
2026-02-17T05:00:15.871Z,user-service,INFO,Health check passed,com.company.userservice.Service,66534a997245428d1559e607ef715830,production,,,
2026-02-17T04:59:47.435Z,payment-service,INFO,Order created,com.company.paymentservice.Service,78a1bd1b96adccce82c3ef5055ad4f67,production,,,
2026-02-17T05:00:49.322Z,inventory-service,INFO,Health check passed,com.company.inventoryservice.Service,4c7e9a91562a4519eefb3a4006b5dcef,production,,,
2026-02-17T05:00:53.722Z,inventory-service,INFO,Order created,com.company.inventoryservice.Service,86533a4cb1f92ca469796c2ef676ec57,production,,,
2026-02-17T05:00:42.164Z,payment-service,INFO,Health check passed,com.company.paymentservice.Service,cf52b6761e7cc80bbc36173a16b3938e,production,,,
2026-02-17T05:01:52.952Z,checkout-service,INFO,Health check passed,com.company.checkoutservice.Service,a3188652533e6f0bc6561639d6f18d01,production,,,
2026-02-17T05:01:22.154Z,checkout-service,INFO,Request processed successfully,com.company.checkoutservice.Service,50a47ce4bc5f78ed64a2c7272fd4d462,production,,,
2026-02-17T05:02:03.183Z,notification-service,INFO,Health check passed,com.company.notificationservice.Service,61ae7a4a4028cdfe05a8c18283b24105,production,,,
2026-02-17T05:02:28.967Z,inventory-service,INFO,User session started,com.company.inventoryservice.Service,904e3df68b3f07d0c7d17b20ad363f2a,production,,,
2026-02-17T05:02:59.877Z,payment-service,INFO,Health check passed,com.company.paymentservice.Service,66499815dd0327fa6660e64b8ea755f5,production,,,
2026-02-17T05:03:06.270Z,user-service,INFO,Request processed successfully,com.company.userservice.Service,08f2899a9aba0e4a8a21ebc27e0bc3fc,production,,,
2026-02-17T05:03:31.155Z,inventory-service,INFO,Order created,com.company.inventoryservice.Service,6a675da8ca0d6de4759272d7c93562c5,production,,,
2026-02-17T05:03:13.317Z,inventory-service,INFO,User session started,com.company.inventoryservice.Service,21d9d86725cfc576340793be617a9bac,production,,,
2026-02-17T05:03:50.359Z,checkout-service,INFO,Order created,com.company.checkoutservice.Service,4fee7f769de00442172cdff08d95f87b,production,,,
2026-02-17T05:04:05.754Z,payment-service,INFO,Health check passed,com.company.paymentservice.Service,17541752a861bfbef5cce080170c01c6,production,,,
2026-02-17T05:04:06.945Z,inventory-service,ERROR,Connection refused to payment-gateway,com.company.inventoryservice.Service,fdde5a3812ddf98c388154f41abe3b96,production,ConnectionRefusedException,Connection refused to payment-gateway,"ConnectionRefusedException: Connection refused to payment-gateway
	at com.company.service.Service.process(Service.java:187)"
2026-02-17T05:04:58.476Z,payment-service,INFO,Payment initiated,com.company.paymentservice.Service,5971420c8a9c8e98618c96eeb52a4e2b,production,,,
2026-02-17T05:05:25.977Z,inventory-service,INFO,Request processed successfully,com.company.inventoryservice.Service,4b6085f26361031ecc496111769f665a,production,,,
2026-02-17T05:04:59.122Z,notification-service,INFO,User session started,com.company.notificationservice.Service,268c0b1a6e6b57f7f36686443c405fa1,production,,,
2026-02-17T05:05:24.898Z,checkout-service,INFO,User session started,com.company.checkoutservice.Service,d1a7fe906b4763f6d0780c9f03941bd5,production,,,
2026-02-17T05:06:24.163Z,inventory-service,INFO,Order created,com.company.inventoryservice.Service,1f321d7b6c388af062a0486bd1d88610,production,,,
2026-02-17T05:05:59.009Z,notification-service,INFO,Payment initiated,com.company.notificationservice.Service,c27976b60fd7eaa0bbd9c58ee116fd59,production,,,
2026-02-17T05:06:38.000Z,user-service,INFO,Payment initiated,com.company.userservice.Service,ebe8820461f64f5648ebae6cf6c290bc,production,,,
2026-02-17T05:06:46.430Z,user-service,INFO,Payment initiated,com.company.userservice.Service,6d3b4a2edfdcbddb5ac05a5217259031,production,,,
2026-02-17T05:07:14.736Z,user-service,INFO,Order created,com.company.userservice.Service,fffe5fb6db541ecea8335a41bbbc84a4,production,,,
2026-02-17T05:06:57.995Z,payment-service,INFO,Order created,com.company.paymentservice.Service,5c6a656015a2d503a043cf3e93f6d352,production,,,
2026-02-17T05:08:02.753Z,payment-service,INFO,User session started,com.company.paymentservice.Service,1bd8f30a157a2654444a5aa60999b7f4,production,,,
2026-02-17T05:07:39.408Z,checkout-service,INFO,Payment initiated,com.company.checkoutservice.Service,0089de04f00e5be0a9c3d53fac55aa65,production,,,
2026-02-17T05:08:45.732Z,checkout-service,INFO,User session started,com.company.checkoutservice.Service,c93ac6175d9dc5d8ff2a2a49095cf687,production,,,
2026-02-17T05:08:32.001Z,payment-service,INFO,Health check passed,com.company.paymentservice.Service,d2ad1e5211b86c4afae7897ab6cf1050,production,,,
2026-02-17T05:08:59.335Z,checkout-service,INFO,Payment initiated,com.company.checkoutservice.Service,cd54182fe320c01cc3363b9a3693026f,production,,,
2026-02-17T05:08:51.327Z,inventory-service,INFO,Health check passed,com.company.inventoryservice.Service,9769e9240afe5f1436ab971a177d0c14,production,,,
2026-02-17T05:09:55.874Z,checkout-service,INFO,Payment initiated,com.company.checkoutservice.Service,47a131e7969a56e6a524eb8b3c18148a,production,,,
2026-02-17T05:09:58.584Z,user-service,INFO,Health check passed,com.company.userservice.Service,bf466dbe981500caf783fb4a79d8de16,production,,,
2026-02-17T05:10:26.024Z,notification-service,INFO,Order created,com.company.notificationservice.Service,fb22fb26f9c14229b92452e65e24360c,production,,,
2026-02-17T05:10:41.954Z,user-service,INFO,Health check passed,com.company.userservice.Service,c44b96e378104dbd093255f23cdf954e,production,,,
2026-02-17T05:10:56.686Z,inventory-service,INFO,Request processed successfully,com.company.inventoryservice.Service,097e5348aacad0b915f03d057163d074,production,,,
2026-02-17T05:11:03.015Z,user-service,INFO,Request processed successfully,com.company.userservice.Service,10060f3cb26eb1e76e52de4a14e8eb16,production,,,
2026-02-17T05:11:30.888Z,user-service,INFO,Order created,com.company.userservice.Service,c0324da2702f07012cef7843966fd6c5,production,,,
2026-02-17T05:11:19.982Z,checkout-service,INFO,Health check passed,com.company.checkoutservice.Service,d65f33e015e4c4799bcfdb856c3af5db,production,,,
2026-02-17T05:12:12.881Z,notification-service,INFO,User session started,com.company.notificationservice.Service,458051206c2fd1ad2420af4d1e06519c,production,,,
2026-02-17T05:11:49.519Z,notification-service,INFO,Request processed successfully,com.company.notificationservice.Service,9cc368e6ff7341ceac3829adf3493acd,production,,,
